,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
204,0.12794785499572753,0.026398791416487807,0.001096200942993164,1.0814221018060985e-05,0.001,"(50, 50)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 40}",0.638978494623656,0.7525153609831029,0.6752112135176653,0.6695402298850573,0.7204022988505747,0.6912707274402561,0.04032447157102789,71,0.6775573925855569,0.7756749252335148,0.7458481334905341,0.7165509146481464,0.7900401639064262,0.7411343059728357,0.04062862176809521
205,0.16353626251220704,0.03130998765804379,0.0011275291442871093,1.5889055566383996e-05,0.001,"(50, 50)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 45}",0.7612327188940091,0.7121927803379416,0.7669354838709678,0.6706691297208538,0.6795338441890165,0.7185314131617314,0.039993210951031526,38,0.801347212799889,0.7712335876851273,0.7745660706552622,0.731470573251508,0.7616216468594635,0.76804781825025,0.022541858615127235
206,0.15614514350891112,0.01705275070650463,0.001121377944946289,1.2129485167652325e-05,0.001,"(50, 50)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 50}",0.7940860215053763,0.7016513056835637,0.6830069124423964,0.6939655172413792,0.6947637292464879,0.7137717228938377,0.04093736899738865,47,0.7713896832749292,0.7856663566425116,0.7918972737672377,0.7634509183683631,0.7624973294995727,0.7749803123105228,0.011849215415346628
207,0.12480230331420898,0.03266635652271277,0.0011378765106201173,7.67781864173753e-06,0.001,"(50, 50)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 55}",0.6402649769585252,0.6342741935483872,0.7250000000000002,0.635632183908046,0.6709770114942529,0.6611858096476424,0.03466899539953307,102,0.645486941696116,0.7296577808936039,0.8003665307430242,0.6748976160917267,0.7743296238927398,0.7249476986634421,0.05825423986195518
208,0.1303704261779785,0.024816095233798182,0.001142120361328125,4.332663227691859e-06,0.001,"(50, 50)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 60}",0.6305299539170507,0.7776305683563749,0.7332757296466976,0.70316091954023,0.6578544061302682,0.7007094817535239,0.05264928662955527,60,0.6750181362889437,0.788009582551627,0.7778014538573026,0.7680639909983467,0.7498152699704432,0.7517416867333326,0.040375991927131476
209,0.036580991744995114,0.003753306304270275,0.0007824420928955079,0.00010218503482309306,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 2}",0.3616743471582181,0.36324884792626727,0.36975806451612914,0.33940886699507394,0.34227330779054915,0.3554164429555489,0.012091680062392205,350,0.338234457639469,0.35768254637448094,0.3982741076725518,0.36598390017904564,0.3721158770385403,0.3664581777808175,0.019586107220206733
210,0.02833085060119629,0.0067905593695684555,0.0006636142730712891,1.60981806525824e-05,0.001,"(50,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 3}",0.4191244239631336,0.1396889400921659,0.38728878648233506,0.3324096880131363,0.3414750957854406,0.3237297531869626,0.09797452982163024,353,0.40154905329575047,0.23322863915263312,0.38906859763347684,0.4107687192365086,0.3772393353582937,0.36237086893533255,0.06555736048410113
211,0.04863157272338867,0.017308053101303962,0.00069427490234375,1.3721812585607649e-05,0.001,"(50,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 4}",0.5057987711213517,0.5364247311827958,0.4524193548387099,0.3817939244663383,0.3788633461047254,0.4518965554273884,0.06366875819526183,309,0.45667537851919865,0.5271234234172171,0.4352979681543172,0.4805185390451285,0.4760057636609222,0.4751242145593567,0.03052960216337975
212,0.055843687057495116,0.028293652422266852,0.0006906032562255859,3.058366771810324e-05,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 5}",0.41971966205837175,0.4450460829493087,0.47885944700460853,0.5445197044334976,0.5932630906768838,0.4954112965062632,0.0639013888058935,285,0.45238885910221366,0.46954355056353075,0.5044588211440115,0.5704349004587732,0.6324011011841763,0.5258454464905411,0.06688122070028628
213,0.05220937728881836,0.010712077006646333,0.0006939411163330078,2.26367611949986e-05,0.001,"(50,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 6}",0.5884216589861752,0.5303571428571429,0.5597158218125959,0.5347290640394089,0.5316411238825032,0.5491441045268215,0.02253487006917636,210,0.5925001834471636,0.5350093577189486,0.5191341313528033,0.6053224141488835,0.6055516693882671,0.5715035512112132,0.03692757967158036
214,0.043691587448120114,0.015463174244847337,0.0006937980651855469,2.125699191344662e-05,0.001,"(50,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 7}",0.4196428571428571,0.6035330261136712,0.5038786482334872,0.5133004926108374,0.46867816091954023,0.5019687321498363,0.06089366816093911,280,0.40147533049917544,0.527177278373949,0.5252544500599517,0.5917902654972533,0.5628236800517888,0.5217042008964237,0.0649621553528462
215,0.047560596466064455,0.01690216447844879,0.0006913185119628906,2.077259411602576e-05,0.001,"(50,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 8}",0.5703533026113671,0.3682795698924731,0.5643817204301077,0.6151067323481116,0.4961047254150703,0.5224881845684474,0.08642497957998173,248,0.5113778383910238,0.4160889555001554,0.6013203742781404,0.6514192377405915,0.5509838081574092,0.546238042813464,0.0803413817101053
216,0.04815483093261719,0.017001156482090378,0.000708627700805664,4.887057485702117e-06,0.001,"(50,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 9}",0.5129416282642089,0.5804723502304147,0.533851766513057,0.4835591133004926,0.5924010217113665,0.540596237177508,0.04068543910402871,221,0.5037677187358915,0.524025798846456,0.5262676193837629,0.5786799179941923,0.6509336566493852,0.5567349423219377,0.05321400632640394
217,0.04285078048706055,0.009750213201628903,0.0007040023803710938,7.634459244970669e-06,0.001,"(50,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 10}",0.6000192012288786,0.5177035330261136,0.49521889400921687,0.5657019704433497,0.41382503192848025,0.5190010316609316,0.06358578253518087,256,0.5010381030361326,0.5270604090320424,0.5207446262600474,0.5735494506868312,0.5429603193736511,0.5330705816777409,0.024291878429072367
218,0.08155946731567383,0.019468652841844823,0.0007565021514892578,9.070453025954907e-05,0.001,"(50,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 15}",0.6561251920122887,0.6905913978494624,0.6423579109062981,0.4150656814449918,0.6040229885057471,0.6024931310422134,0.09705119678692835,177,0.6706418844702206,0.6831061676125961,0.6606614950599391,0.513380051870538,0.7000448070071692,0.6455668812040926,0.06738991531286695
219,0.07439951896667481,0.02393707214521118,0.0008476734161376953,0.0001058079627771779,0.001,"(50,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 20}",0.7036482334869432,0.49489247311827955,0.4644585253456223,0.4442323481116585,0.5938378033205619,0.5404659108496707,0.09679042386712816,224,0.6903767807175318,0.5028369713383226,0.4658986229908709,0.49192584681624363,0.687897600063616,0.5677871643853171,0.09980929088913099
220,0.07929930686950684,0.008341158982029672,0.000857400894165039,0.00011000855430803038,0.001,"(50,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 25}",0.6887096774193548,0.7448348694316437,0.724020737327189,0.6091133004926108,0.6028735632183908,0.6746341264442973,0.058196819121380014,85,0.7114939903909062,0.7011197998625062,0.7078621063408504,0.6975640359345701,0.6762870132059221,0.698865389146951,0.012304319872614251
221,0.08451962471008301,0.010231350570247714,0.000962209701538086,1.4566106943967478e-05,0.001,"(50,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 30}",0.6883832565284177,0.638863287250384,0.642684331797235,0.7117610837438422,0.6616538952745848,0.6685420935594738,0.02777055504018934,93,0.6915388903125395,0.6533104124196346,0.6751606427210762,0.7496751242723442,0.7272854338656695,0.6993941007182528,0.034867689738812414
222,0.1021449089050293,0.024052375503647357,0.0009602546691894531,8.043721345504586e-06,0.001,"(50,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 35}",0.7373655913978495,0.6867127496159754,0.6676843317972352,0.5847495894909688,0.5671775223499361,0.6495813023117667,0.06378583815334556,125,0.7250779011716394,0.7420580721623941,0.670202120709206,0.670641123518796,0.6883357651337225,0.6992629965391516,0.029260821260409454
223,0.09372258186340332,0.030620241979786616,0.0009596347808837891,5.005654705814633e-06,0.001,"(50,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 40}",0.6375192012288786,0.7387096774193548,0.6840821812596006,0.6609195402298851,0.498882503192848,0.644850002677276,0.07957376081689005,131,0.6550261502457819,0.7641413248400036,0.6747466763790744,0.754990648906612,0.5792142351742777,0.68562380710915,0.06834366819154408
224,0.09648261070251465,0.023629238741701617,0.001005411148071289,1.6263572690006088e-05,0.001,"(50,)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 45}",0.5738671274961596,0.638536866359447,0.6836021505376346,0.6689449917898194,0.6712643678160919,0.6469094018289305,0.03973025163751475,128,0.5860390859033158,0.7078975286589775,0.7181774717201225,0.7363721102519701,0.7162986871077899,0.6929569767284351,0.054259447288757284
225,0.08401169776916503,0.016239715478926598,0.0010323524475097656,4.065718411882822e-06,0.001,"(50,)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 50}",0.6985983102918585,0.638805683563748,0.7341397849462366,0.7209770114942529,0.6793103448275862,0.6942659189461192,0.033641016523377955,63,0.689642917070359,0.6815495302480322,0.7471573059583617,0.7478654877665861,0.7158890645422503,0.7164208611171179,0.027809510596746977
