episode,length,time,reward,delta
276,16.0,0.0007469999998193089,84.0,2.8990143619012088e-11
277,12.0,0.0006180000000313157,88.0,2.609112925711088e-11
278,14.0,0.0006619999999202264,86.0,2.347633198951371e-11
279,20.0,0.0009159999999610591,-19.0,2.113154096150538e-11
280,19.0,0.0008860000000368018,-18.0,1.901412360894028e-11
281,12.0,0.0005700000001525041,88.0,1.7109869077103212e-11
282,14.0,0.0006559999999353749,-13.0,1.5404566511278972e-11
283,12.0,0.000569000000041342,88.0,1.3869794202037156e-11
284,12.0,0.0005699999999251304,88.0,1.247713043994736e-11
285,13.0,0.0006150000001525768,87.0,1.1226575225009583e-11
286,15.0,0.000758000000132597,-14.0,1.0103917702508625e-11
287,12.0,0.0005770000000211439,88.0,9.094947017729282e-12
288,12.0,0.000573000000031243,88.0,8.185452315956354e-12
289,14.0,0.0006639999999151769,86.0,7.361222742474638e-12
290,19.0,0.0008699999998498242,-18.0,6.622258297284134e-12
291,19.0,0.0008709999999609863,-18.0,5.9543481256696396e-12
292,22.0,0.0010030000000824657,-120.0,5.357492227631155e-12
293,16.0,0.0007509999998092098,84.0,4.817479748453479e-12
294,19.0,0.0008689999999660358,-18.0,4.334310688136611e-12
295,28.0,0.0012540000000171858,-126.0,3.907985046680551e-12
296,14.0,0.0006630000000313885,86.0,3.510081114654895e-12
297,12.0,0.0005869999999958964,88.0,3.154809746774845e-12
298,12.0,0.0005750000000261934,88.0,2.8421709430404007e-12
299,18.0,0.0008820000000469008,-17.0,2.5579538487363607e-12
300,12.0,0.000574000000142405,88.0,2.3021584638627246e-12
301,12.0,0.000574000000142405,88.0,2.0747847884194925e-12
302,12.0,0.0005769999997937703,88.0,1.8616219676914625e-12
303,12.0,0.000573000000031243,88.0,1.6768808563938364e-12
304,16.0,0.0007499999999254214,84.0,1.5063505998114124e-12
305,15.0,0.0007029999999303982,-14.0,1.3500311979441904e-12
306,14.0,0.0006709999997838167,86.0,1.2079226507921703e-12
307,13.0,0.0006189999999151041,87.0,1.0942358130705543e-12
308,15.0,0.0007140000000163127,85.0,9.805489753489383e-13
309,14.0,0.0006579999999303254,86.0,8.810729923425242e-13
310,12.0,0.0005710000000362925,88.0,7.958078640513122e-13
311,12.0,0.000582000000122207,88.0,7.105427357601002e-13
312,29.0,0.0013069999999970605,-28.0,6.394884621840902e-13
313,12.0,0.0005719999999200809,88.0,5.826450433232822e-13
314,14.0,0.0006539999999404245,86.0,5.258016244624741e-13
315,23.0,0.0010520000000724394,-22.0,4.689582056016661e-13
316,12.0,0.000569000000041342,88.0,4.263256414560601e-13
317,15.0,0.0007010000001628214,-14.0,3.836930773104541e-13
318,14.0,0.0006559999999353749,86.0,3.410605131648481e-13
319,16.0,0.0007659999998850253,84.0,3.126388037344441e-13
320,12.0,0.0005710000000362925,88.0,2.8421709430404007e-13
321,16.0,0.0007539999999153224,84.0,2.5579538487363607e-13
322,12.0,0.0005750000000261934,88.0,2.2737367544323206e-13
323,12.0,0.0005710000000362925,88.0,1.9895196601282805e-13
324,15.0,0.0007109999999102001,85.0,1.8474111129762605e-13
325,19.0,0.000941000000011627,81.0,1.7053025658242404e-13
326,12.0,0.0005719999999200809,88.0,1.5631940186722204e-13
